 TIME                     DNI                       Hel_track_power           Rec_pump_power            Rec_conv_loss             Rec_rad_loss              Rec_therm_power           Hot_tank_loss             Cold_tank_loss            Rankine_power             Par_store_pump            Par_plant_bal             Par_cooling_tower         Par_pipe_loss             Par_tank_htr              Par_recirc_htr            Par_fixed                 Par_aux                   Par_total                 E_net                     Fossil_energy             Fossil_fuel               Water_makeup_flow         Total_incident_power      Power_to_receiver         Power_to_rec_less_reflect Power_to_rec_less_radiati Power_from_receiver       Power_from_cycle_elec     Power_less_tower_pump     Power_to_the_grid         Q_to_TES                  Q_from_TES                Q_to_PB                  
 HOURS                              kJ/m2                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MMBTU                               kg                                  MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr               
  +7.4400000000000000E+02   +6.3789480000000028E+05   +1.3455129999999960E+02   +8.6173022813427235E+02   +2.2519704500757744E+03   +2.2715627473003283E+03   +7.4842289505364417E+04   +4.3071567601861705E+02   +0.0000000000000000E+00   +2.9710546261687945E+04   +1.4987851254207663E+02   +0.0000000000000000E+00   +2.0550687290940320E+02   +8.5268510568820011E+02   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.6994749999999567E+02   +0.0000000000000000E+00   +2.6744560679059055E+03   +2.7036090193782082E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +7.5183003408743814E+07   +1.5950504154345399E+05   +1.2210126569652380E+05   +7.9365822702740479E+04   +7.7094259955440109E+04   +7.4842289505364417E+04   +2.9710546261687945E+04   +2.8848816033553681E+04   +2.7036090193782082E+04   +3.0413957335167026E+01   -3.0413957335167026E+01   +7.2804372058375055E+04
  +1.4160000000000000E+03   +6.1110719999999984E+05   +1.2459921366940867E+02   +8.4465402155300649E+02   +2.0161309618069558E+03   +2.0823431718742077E+03   +7.0827956272481490E+04   +3.8609569626652473E+02   +0.0000000000000000E+00   +2.8360363288520639E+04   +1.4897258736298633E+02   +0.0000000000000000E+00   +2.1145395907555229E+02   +8.0970285886804697E+02   +1.1520388096522998E+00   +0.0000000000000000E+00   +4.2503999999999616E+02   +0.0000000000000000E+00   +2.5652032415990575E+03   +2.5795160046921646E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +7.2477220519337460E+07   +1.5280682539425598E+05   +1.1527143139409636E+05   +7.4926430406162719E+04   +7.2844087234288483E+04   +7.0827956272481490E+04   +2.8360363288520639E+04   +2.7515709266967631E+04   +2.5795160046921646E+04   +3.6704932170449814E+02   -3.6704932170449814E+02   +6.9510397415409854E+04
  +2.1600000000000000E+03   +8.2289879999999981E+05   +1.4109520328953201E+02   +1.1491160550548377E+03   +2.8183816436847151E+03   +2.9295779514336805E+03   +9.7356377066595902E+04   +4.2867917385449255E+02   +0.0000000000000000E+00   +3.9258899044835467E+04   +1.9999265255845773E+02   +0.0000000000000000E+00   +2.8661883490884117E+02   +1.1173322876342597E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.7057999999999566E+02   +0.0000000000000000E+00   +3.3648521212221513E+03   +3.5894046923613394E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +9.9631192229864106E+07   +2.0576513130387393E+05   +1.5862205640263739E+05   +1.0310433666171432E+05   +1.0017475871028063E+05   +9.7356377066595902E+04   +3.9258899044835467E+04   +3.8109782989780615E+04   +3.5894046923613394E+04   +4.3343505269043430E+02   -4.3343505269043430E+02   +9.5539977126955768E+04
  +2.8800000000000000E+03   +9.8157960000000021E+05   +1.5132335049489026E+02   +1.3095364525589516E+03   +3.1616953064124477E+03   +3.3475756039309153E+03   +1.1228119809382151E+05   +4.1349215956208531E+02   +0.0000000000000000E+00   +4.5954244709398547E+04   +2.3405029827158353E+02   +0.0000000000000000E+00   +3.8210492854703796E+02   +1.3075422985718344E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.5539999999999583E+02   +0.0000000000000000E+00   +3.8401754955459273E+03   +4.2114069213852665E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1757112887504852E+08   +2.4544312773235809E+05   +1.8275456769871517E+05   +1.1879046900416490E+05   +1.1544289340023398E+05   +1.1228119809382151E+05   +4.5954244709398547E+04   +4.4644708256839614E+04   +4.2114069213852665E+04   +4.3592557638385591E+02   -4.3592557638385591E+02   +1.1123864637851653E+05
  +3.6240000000000000E+03   +1.0026611999999997E+06   +1.6909890388343089E+02   +1.3127975929584225E+03   +3.2864332573035108E+03   +3.5488126027710887E+03   +1.1290469758242450E+05   +4.2149287928429317E+02   +0.0000000000000000E+00   +4.6293124971834368E+04   +2.2785622678136087E+02   +0.0000000000000000E+00   +5.5533532201887863E+02   +1.3260415328715710E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.7057999999999566E+02   +0.0000000000000000E+00   +4.0619973517917579E+03   +4.2231127620042615E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2346333658951034E+08   +2.5071456352992612E+05   +1.8421529760384446E+05   +1.1973994344249908E+05   +1.1619113083972796E+05   +1.1290469758242450E+05   +4.6293124971834368E+04   +4.4980327378875962E+04   +4.2231127620042615E+04   +4.2253198397018269E+02   -4.2253198397018269E+02   +1.1182349975725899E+05
  +4.3440000000000000E+03   +1.0597464000000004E+06   +1.6116958520482493E+02   +1.3411643225997586E+03   +3.3101795207264058E+03   +3.6495545143676800E+03   +1.1572254272156139E+05   +4.0253570412082126E+02   +0.0000000000000000E+00   +4.7417467309096603E+04   +2.2809151946422631E+02   +0.0000000000000000E+00   +6.5361230040107807E+02   +1.3547279481946287E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.5539999999999583E+02   +0.0000000000000000E+00   +4.1944321282744604E+03   +4.3223035180822211E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2932366869520803E+08   +2.6498866828437231E+05   +1.8874196424100839E+05   +1.2268227675665551E+05   +1.1903272224228790E+05   +1.1572254272156139E+05   +4.7417467309096603E+04   +4.6076302986496856E+04   +4.3223035180822211E+04   +4.1456554461037410E+02   -4.1456554461037410E+02   +1.1455205489729671E+05
  +5.0880000000000000E+03   +1.0249487999999996E+06   +1.7124634418954554E+02   +1.3246744637909585E+03   +3.2424505593978420E+03   +3.6295949852639978E+03   +1.1450020291849860E+05   +4.1248529139414165E+02   +0.0000000000000000E+00   +4.6667509167139011E+04   +2.2565560722724231E+02   +0.0000000000000000E+00   +6.8446491497258569E+02   +1.3242856105142598E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.7057999999999566E+02   +0.0000000000000000E+00   +4.2010660520110450E+03   +4.2466443115128030E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2988142871566388E+08   +2.5628755858162418E+05   +1.8672653609716982E+05   +1.2137224846316036E+05   +1.1774265347789644E+05   +1.1450020291849860E+05   +4.6667509167139011E+04   +4.5342834703348075E+04   +4.2466443115128030E+04   +3.8873921786190067E+02   -3.8873921786190067E+02   +1.1369932310744833E+05
  +5.8320000000000000E+03   +9.5773320000000030E+05   +1.5677679086712402E+02   +1.2609196363981112E+03   +2.9600065823990026E+03   +3.2850472424596983E+03   +1.0826134239683491E+05   +4.1410387343090196E+02   +0.0000000000000000E+00   +4.4077386704101940E+04   +2.2037822771538677E+02   +0.0000000000000000E+00   +6.3369932352927106E+02   +1.2525694820169199E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.7057999999999566E+02   +0.0000000000000000E+00   +3.9950888832178630E+03   +4.0082297820884094E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2233835954298377E+08   +2.3948035609248624E+05   +1.7616368649491321E+05   +1.1450639622169356E+05   +1.1122134897923387E+05   +1.0826134239683491E+05   +4.4077386704101940E+04   +4.2816467067703823E+04   +4.0082297820884094E+04   +4.1434898425822087E+02   -4.1434898425822087E+02   +1.0751654250103667E+05
  +6.5520000000000000E+03   +8.9425800000000000E+05   +1.4482324523227342E+02   +1.2504757475344234E+03   +2.8116528737969925E+03   +3.0899843186486601E+03   +1.0706659062346272E+05   +4.0535738150634302E+02   +0.0000000000000000E+00   +4.3967791138981534E+04   +2.2571768354325854E+02   +0.0000000000000000E+00   +6.1566109675227040E+02   +1.2564699124128751E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.5539999999999583E+02   +0.0000000000000000E+00   +3.9485596852224940E+03   +4.0019231453759188E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2024128004510652E+08   +2.2360843737958989E+05   +1.7379727356293588E+05   +1.1296822781590828E+05   +1.0987824349725958E+05   +1.0706659062346272E+05   +4.3967791138981534E+04   +4.2717315391447133E+04   +4.0019231453759188E+04   +4.0833294230283417E+02   -4.0833294230283417E+02   +1.0625394470550209E+05
  +7.2960000000000000E+03   +7.9597440000000037E+05   +1.3958191355507279E+02   +1.1287390949296232E+03   +2.6486135929780271E+03   +2.8233949553907687E+03   +9.5807105956272935E+04   +4.2334901268319555E+02   +0.0000000000000000E+00   +3.8020499227180611E+04   +1.9732364631453231E+02   +0.0000000000000000E+00   +3.8427313840375916E+02   +1.0844576731409481E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.7057999999999566E+02   +0.0000000000000000E+00   +3.4048389887731628E+03   +3.4615660238407581E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0026551494041693E+08   +1.9903270843331199E+05   +1.5581402231483348E+05   +1.0127911450464178E+05   +9.8455719549250935E+04   +9.5807105956272935E+04   +3.8020499227180611E+04   +3.6891760132250995E+04   +3.4615660238407581E+04   +4.5786808906997589E+02   -4.5786808906997589E+02   +9.2861776022822291E+04
