 TIME                    	E_net                    	
 HOURS              	MW                  	
  +1.0000000000000000E+00	  -2.6125619479518832E+01	
  +2.0000000000000000E+00	  -4.4213377371298421E+01	
  +3.0000000000000000E+00	  -3.3604679854783761E+01	
  +4.0000000000000000E+00	  -2.4291117085813809E+01	
  +5.0000000000000000E+00	  -6.5711439745472493E+00	
  +6.0000000000000000E+00	  -6.1358688067434395E+00	
  +7.0000000000000000E+00	  -6.6816188013871711E+00	
  +8.0000000000000000E+00	  -6.3639483178445477E+00	
  +9.0000000000000000E+00	  -8.5796580265217293E-01	
  +1.0000000000000000E+01	  +2.0941049897109622E+01	
  +1.1000000000000000E+01	  +1.0986831819860346E+02	
  +1.2000000000000000E+01	  +1.0801115244074997E+02	
  +1.3000000000000000E+01	  +9.8459836352246967E+01	
  +1.4000000000000000E+01	  +1.0415014151790395E+02	
  +1.5000000000000000E+01	  +1.0849643560361817E+02	
  +1.6000000000000000E+01	  +1.0765215081386536E+02	
  +1.7000000000000000E+01	  +7.6449458658013455E+01	
  +1.8000000000000000E+01	  -6.1639407470595187E-01	
  +1.9000000000000000E+01	  -6.1641532782418984E-01	
  +2.0000000000000000E+01	  -6.1642525072568222E-01	
  +2.1000000000000000E+01	  -6.1640587505405409E-01	
  +2.2000000000000000E+01	  -6.1634871085139331E-01	
  +2.3000000000000000E+01	  -6.1627821899366220E-01	
  +2.4000000000000000E+01	  -6.1620610399623466E-01	
  +2.5000000000000000E+01	  -6.1613719214642526E-01	
  +2.6000000000000000E+01	  -6.1607322611356230E-01	
  +2.7000000000000000E+01	  -6.1601476890900730E-01	
  +2.8000000000000000E+01	  -6.1596170470493106E-01	
  +2.9000000000000000E+01	  -6.1591361717194182E-01	
  +3.0000000000000000E+01	  -6.1587010179690371E-01	
  +3.1000000000000000E+01	  -6.1583067830395999E-01	
  +3.2000000000000000E+01	  -6.1579484746362001E-01	
  +3.3000000000000000E+01	  -8.1402374957446788E-01	
  +3.4000000000000000E+01	  -8.6778702511533046E-01	
  +3.5000000000000000E+01	  -1.3286015323211795E+00	
  +3.6000000000000000E+01	  -9.5544984366423069E-01	
  +3.7000000000000000E+01	  +2.9802113467042279E+01	
  +3.8000000000000000E+01	  +7.4118985940054102E+01	
  +3.9000000000000000E+01	  +7.8409947581418066E+01	
  +4.0000000000000000E+01	  +7.1080926761577373E+01	
  +4.1000000000000000E+01	  -1.7679234133075759E+00	
  +4.2000000000000000E+01	  -6.1641310201530397E-01	
  +4.3000000000000000E+01	  -6.1642697958278592E-01	
  +4.4000000000000000E+01	  -6.6413188450136995E-01	
  +4.5000000000000000E+01	  -6.2077968942576356E-01	
  +4.6000000000000000E+01	  -6.1631786889790752E-01	
  +4.7000000000000000E+01	  -6.1624057016192135E-01	
  +4.8000000000000000E+01	  -1.1904144446197795E+00	
  +4.9000000000000000E+01	  -6.1610245425392707E-01	
  +5.0000000000000000E+01	  -1.1868313904925083E+00	
  +5.1000000000000000E+01	  -6.1648833761481225E-01	
  +5.2000000000000000E+01	  -6.1593801777981505E-01	
  +5.3000000000000000E+01	  -6.1589268384349016E-01	
  +5.4000000000000000E+01	  -1.1852655864190347E+00	
  +5.5000000000000000E+01	  -6.1631462359000855E-01	
  +5.6000000000000000E+01	  -6.1578043592920217E-01	
  +5.7000000000000000E+01	  -1.3943586061792541E+00	
  +5.8000000000000000E+01	  -2.6794192119337975E+01	
  +5.9000000000000000E+01	  +1.5806268953327971E+01	
  +6.0000000000000000E+01	  +4.2825853207485110E+01	
  +6.1000000000000000E+01	  +3.3190460718848627E+01	
  +6.2000000000000000E+01	  +5.2982295733355109E+01	
