 TIME                    	Power_field-pump_par     	Power_PB-TES-pumps_par   	Power_drives-elec_par    	Power_BOP_par            	Power_fixed_par          	Power_htr-boiler_par     	Power_cooling_par        	Power_gross              	E_net                    	Q_field_out              	Q_inc_total              	Q_abs_total              	Q_to_pb                  	Q_hdr_pipe_hl            	Q_dump                   	Q_loss_therm             	Q_aux_fluid              	Q_aux_fuel_hv            	Q_freeze_prot            	Q_frzprot_tank           	Q_startup                	Flow_water_makeup        	WFALL1_inc_power         	WFALL2_q_sf              	WFALL3_q_to_pb           	WFALL4_p_gross           	WFALL5_E_net             	
 HOURS              	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	MMBTU               	MWh                 	MWh                 	MWh                 	kg                  	MWh                 	MWh                 	MWh                 	MWh                 	MWh                 	
  +7.4400000000000000E+02	  +1.6866460572812613E+02	  +1.2977070642851933E+02	  +6.5319999999999638E+01	  +0.0000000000000000E+00	  +4.5360150000000129E+02	  +0.0000000000000000E+00	  +6.4278147312739532E+02	  +1.6805327073818713E+04	  +1.5097697326715872E+04	  +4.8197804524127285E+04	  +1.6373498262400003E+05	  +5.1534401305403655E+04	  +4.7855394250572586E+04	  +6.3850738798098598E+02	  +0.0000000000000000E+00	  +1.6293826577210839E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1555922394959775E+02	  +1.3193223786920439E+02	  +1.1233958082262143E+04	  +1.6691273460871663E+06	  +1.6373498262400003E+05	  +5.1534401305403655E+04	  +4.7855394250572586E+04	  +1.6805327073818713E+04	  +1.5097697326715872E+04	
  +1.4160000000000000E+03	  +3.4523799706841208E+02	  +2.2639677681309033E+02	  +6.7849999999999682E+01	  +0.0000000000000000E+00	  +4.1025600000000117E+02	  +0.0000000000000000E+00	  +8.8058112153933860E+02	  +2.0739341286954928E+04	  +1.8652185937908358E+04	  +5.8036241752430884E+04	  +1.5180783600799995E+05	  +6.1875350035717733E+04	  +5.8503643601914984E+04	  +5.7152213041466405E+02	  +0.0000000000000000E+00	  +1.5189761326349437E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.6530935036346520E+01	  +9.0302518589355827E+01	  +1.0029623980093262E+04	  +2.0385921535585434E+06	  +1.5180783600799995E+05	  +6.1875350035717733E+04	  +5.8503643601914984E+04	  +2.0739341286954928E+04	  +1.8652185937908358E+04	
  +2.1600000000000000E+03	  +8.5654343957044478E+02	  +4.6273486429362930E+02	  +7.7589047862428814E+01	  +0.0000000000000000E+00	  +4.5421200000000130E+02	  +0.0000000000000000E+00	  +1.4224224272333238E+03	  +3.5186773791947766E+04	  +3.1910646257839020E+04	  +9.6869996512673417E+04	  +2.0436412437600005E+05	  +1.0154918752431870E+05	  +9.7320533982388093E+04	  +6.6921078054718726E+02	  +2.1754148814253167E+03	  +1.9349336848197741E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.6257551489129618E+00	  +1.0984378902029934E+04	  +3.3907181645085742E+06	  +2.0436412437600005E+05	  +1.0154918752431870E+05	  +9.7320533982388093E+04	  +3.5186773791947766E+04	  +3.1910646257839020E+04	
  +2.8800000000000000E+03	  +1.1516189041275213E+03	  +5.6806028937654116E+02	  +8.3473234233714010E+01	  +0.0000000000000000E+00	  +4.3956000000000125E+02	  +0.0000000000000000E+00	  +1.8738133941469296E+03	  +4.2090794926348601E+04	  +3.7974269104463892E+04	  +1.1842079757896837E+05	  +2.1820283356000029E+05	  +1.2427084216240179E+05	  +1.1672670242526590E+05	  +6.4841244528501477E+02	  +4.5201967461478507E+03	  +2.0043234859725599E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0280625041295023E+04	  +4.0665974002452195E+06	  +2.1820283356000029E+05	  +1.2427084216240179E+05	  +1.1672670242526590E+05	  +4.2090794926348601E+04	  +3.7974269104463892E+04	
  +3.6240000000000000E+03	  +1.4485599725969955E+03	  +6.3455374539766126E+02	  +8.9076450393682492E+01	  +0.0000000000000000E+00	  +4.5421200000000130E+02	  +0.0000000000000000E+00	  +2.1794130919358809E+03	  +4.6559012765886095E+04	  +4.1752114811849715E+04	  +1.3930688841579237E+05	  +2.4579112067199999E+05	  +1.4320320904756326E+05	  +1.3167768734697811E+05	  +6.7242400400464305E+02	  +8.8662209679401967E+03	  +2.1671486024331629E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0826937122073095E+00	  +9.9561469861597434E+03	  +4.5851201863959674E+06	  +2.4579112067199999E+05	  +1.4320320904756326E+05	  +1.3167768734697811E+05	  +4.6559012765886095E+04	  +4.1752114811849715E+04	
  +4.3440000000000000E+03	  +1.3879319252861865E+03	  +6.4587451803093279E+02	  +8.6624280803719728E+01	  +0.0000000000000000E+00	  +4.3956000000000125E+02	  +0.0000000000000000E+00	  +2.2340704678308148E+03	  +4.6482188856046370E+04	  +4.1681666441244262E+04	  +1.3762296526836950E+05	  +2.3637868696799997E+05	  +1.4094682017052372E+05	  +1.3256206699645490E+05	  +6.4108347063955159E+02	  +7.1596324026063721E+03	  +2.0984032142132135E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.4612228503934190E+00	  +9.3081355511138445E+03	  +4.6143417513384297E+06	  +2.3637868696799997E+05	  +1.4094682017052372E+05	  +1.3256206699645490E+05	  +4.6482188856046370E+04	  +4.1681666441244262E+04	
  +5.0880000000000000E+03	  +8.1727265262618971E+02	  +4.5238544663644279E+02	  +9.1892673574111456E+01	  +0.0000000000000000E+00	  +4.5421200000000130E+02	  +0.0000000000000000E+00	  +1.7885781435311151E+03	  +3.4087678994155271E+04	  +3.0460850837802354E+04	  +9.8806114429252717E+04	  +1.7283502425600021E+05	  +1.0279622876803562E+05	  +9.9340300667341551E+04	  +6.4976817132248959E+02	  +1.8547019670117181E+03	  +1.9951016839865933E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2487239985044717E+01	  +9.9387462173423446E+03	  +3.4573733951764978E+06	  +1.7283502425600021E+05	  +1.0279622876803562E+05	  +9.9340300667341551E+04	  +3.4087678994155271E+04	  +3.0460850837802354E+04	
  +5.8320000000000000E+03	  +9.7527028636286889E+02	  +5.2092072490142289E+02	  +9.1281853701871341E+01	  +0.0000000000000000E+00	  +4.5421200000000130E+02	  +0.0000000000000000E+00	  +1.8960657056024600E+03	  +3.7754707083365225E+04	  +3.3791446308714934E+04	  +1.0828161417032058E+05	  +1.9466006704799988E+05	  +1.1424571114948684E+05	  +1.0921896648454426E+05	  +6.4829957901632224E+02	  +2.1311794023124362E+03	  +2.0085045648479925E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.5510204081632654E+01	  +1.0125620692677812E+04	  +3.8016931687536086E+06	  +1.9466006704799988E+05	  +1.1424571114948684E+05	  +1.0921896648454426E+05	  +3.7754707083365225E+04	  +3.3791446308714934E+04	
  +6.5520000000000000E+03	  +7.6329058029343526E+02	  +4.5562239468281837E+02	  +7.8521940173634405E+01	  +0.0000000000000000E+00	  +4.3956000000000125E+02	  +0.0000000000000000E+00	  +1.6961546273071745E+03	  +3.4788916500267347E+04	  +3.1353023898105996E+04	  +9.7028185240215709E+04	  +1.9011610369600003E+05	  +1.0101910672549707E+05	  +9.9208450585230923E+04	  +6.2938432050076642E+02	  +8.4872027674477090E+02	  +1.8948308516525656E+04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.7430597043154350E+00	  +1.0416507743704664E+04	  +3.4543283210773212E+06	  +1.9011610369600003E+05	  +1.0101910672549707E+05	  +9.9208450585230923E+04	  +3.4788916500267347E+04	  +3.1353023898105996E+04	
