 TIME                    	T_amb_C                  	wind_speed_out           	DNI                      	Power_in_Collector       	Power_out_col            	Power_in_Receiver        	Power_out_Rec            	P_out_SE                 	Net_Dish_Field_Power     	Net_system_efficiency    	phi_shade                	Collector_Losses         	eta_Collector            	P_Rec_losses             	eta_Receiver             	T_heater_head_operate    	Stirling_Engine_Losses   	Stirling_Engine_Eff      	engine_pressure          	P_parasitic              	T_compression_C          	temp_into_radiator       	temp_out_of_radiator     	
 HOURS              	C                   	m/s                 	W/m^2               	MW                  	MW                  	MW                  	MW                  	MW                  	MW                  	none                	none                	MW                  	none                	MW                  	none                	K                   	none                	none                	Pa                  	MW                  	C                   	C                   	C                   	
  +1.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +5.0000000000000000E+00	  +3.1000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7300000000000000E+02	  +1.0000000000000000E-03	  +0.0000000000000000E+00	  +6.5876900000000012E+05	  +6.9007145245810917E-04	  +5.0051065770522314E+00	  +5.0056163790168284E+00	  +5.0051060288238318E+00	
  +3.0000000000000000E+00	  +3.0500000000000114E+00	  +3.3500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7300000000000000E+02	  +1.0000000000000000E-03	  +0.0000000000000000E+00	  +6.5876900000000012E+05	  +6.9494342686901925E-04	  +3.0550684570140447E+00	  +3.0555794919193886E+00	  +3.0550678998191643E+00	
  +4.0000000000000000E+00	  +3.0500000000000114E+00	  +4.4000000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7300000000000000E+02	  +1.0000000000000000E-03	  +0.0000000000000000E+00	  +6.5876900000000012E+05	  +6.9457060314215811E-04	  +3.0550713101785618E+00	  +3.0555823450839057E+00	  +3.0550707529836814E+00	
  +5.0000000000000000E+00	  +3.0500000000000114E+00	  +4.9000000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7300000000000000E+02	  +1.0000000000000000E-03	  +0.0000000000000000E+00	  +6.5876900000000012E+05	  +6.9419777941529719E-04	  +3.0550741664102361E+00	  +3.0555852013155800E+00	  +3.0550736092153556E+00	
  +6.0000000000000000E+00	  +3.3500000000000227E+00	  +3.8500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7300000000000000E+02	  +1.0000000000000000E-03	  +0.0000000000000000E+00	  +6.5876900000000012E+05	  +6.9344458110128405E-04	  +3.3550799449099600E+00	  +3.3555909810043545E+00	  +3.3550793889041302E+00	
  +7.0000000000000000E+00	  +3.6000000000000227E+00	  +3.1000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.7300000000000000E+02	  +1.0000000000000000E-03	  +0.0000000000000000E+00	  +6.5876900000000012E+05	  +6.9281816323217712E-04	  +3.6050847603361831E+00	  +3.6055957974195962E+00	  +3.6050842053193719E+00	
  +8.0000000000000000E+00	  +3.6000000000000227E+00	  +3.3500000000000001E+00	  +2.3200000000000000E+02	  +8.1385600000000011E+01	  +3.0107260759934871E+01	  +2.9956724456135195E+01	  +4.7477779954273593E+00	  +1.2316780752914969E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9354628839059175E-01	  +5.1278339240065137E+01	  +3.6993350926897955E-01	  +2.5208946460707836E+01	  +1.5848788604989991E-01	  +9.7300000000000000E+02	  +8.7902498003396556E-01	  +2.5942200234300178E-01	  +9.3765347945140337E+05	  +1.3712583905095521E+00	  +4.1122269523396540E+00	  +4.5549696763083602E+00	  +4.1058149308256588E+00	
  +9.0000000000000000E+00	  +5.8500000000000227E+00	  +4.6500000000000004E+00	  +7.5000000000000000E+02	  +2.6310000000000002E+02	  +1.3107408482338616E+02	  +1.3041871439926922E+02	  +9.8818068239962344E+01	  +3.1648632304903902E+01	  +3.0283669308413646E+01	  +1.1510326607301222E-01	  +5.2999055784705329E-01	  +1.3202591517661386E+02	  +4.9819112361881301E-01	  +3.1600646159306876E+01	  +7.5769852809894467E-01	  +9.7300000000000000E+02	  +1.6792358983764611E+01	  +3.2027171616803585E-01	  +6.4633423284153892E+06	  +1.3649629964902543E+00	  +2.3725623516679150E+01	  +2.4042587360256277E+01	  +1.5658318844757048E+01	
