 TIME                     DNI                       Hel_track_power           Rec_pump_power            Rec_conv_loss             Rec_rad_loss              Rec_therm_power           Total_tank_loss           Rankine_power             Par_store_pump            Par_plant_bal             Par_cooling_tower         Par_pipe_loss             Par_tank_htr              Par_recirc_htr            Par_fixed                 Par_aux                   Par_total                 E_net                     Fossil_energy             Fossil_fuel               Water_makeup_flow         Total_incident_power      Power_to_receiver         Power_to_rec_less_reflect Power_to_rec_less_radiati Power_from_receiver       Power_from_cycle_elec     Power_less_tower_pump     Power_to_the_grid         Q_to_TES                  Q_from_TES                Q_to_PB                  
 HOURS                              kJ/m2                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MMBTU                               kg                                  MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr                               MW-hr               
  +7.4400000000000000E+02   +6.3789480000000028E+05   +1.1219441999999972E+02   +5.6220780538127860E+02   +2.1650353992770342E+03   +2.3614471968576395E+03   +6.5297493439748047E+04   +4.6543525748248948E+02   +2.5869774484085927E+04   +1.4691507421922486E+02   +0.0000000000000000E+00   +4.0641343447007108E+02   +1.0910157271382848E+03   +3.9253889222320332E-01   +0.0000000000000000E+00   +3.0648750000000030E+02   +0.0000000000000000E+00   +2.6251726871989526E+03   +2.3244601796887026E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.7214411689694999E+06   +1.3300195176499995E+05   +7.4280825570087996E+04   +6.9823976035882733E+04   +6.7462528839025064E+04   +6.5297493439748047E+04   +2.5869774484085927E+04   +2.5307566678704658E+04   +2.3244601796887026E+04   +2.4385422744623952E+01   -2.4385422744623952E+01   +6.1728401115134839E+04
  +1.4160000000000000E+03   +6.1110719999999984E+05   +1.0397100082849123E+02   +5.2700540569268514E+02   +1.9435587555288432E+03   +2.1653729671102178E+03   +6.1935852878013589E+04   +4.1731685154132350E+02   +2.4551487254383668E+04   +1.4408472879957495E+02   +0.0000000000000000E+00   +4.5727228139721217E+02   +1.0369030637804260E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.7719999999999868E+02   +0.0000000000000000E+00   +2.5462564167199548E+03   +2.2005230837663668E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.6223569263419278E+06   +1.2741669996000003E+05   +7.0260409149630490E+04   +6.6044784600652711E+04   +6.3879411633542448E+04   +6.1935852878013589E+04   +2.4551487254383668E+04   +2.4024481848690964E+04   +2.2005230837663668E+04   +4.3170340219412577E+02   -4.3170340219412577E+02   +5.8177637507052990E+04
  +2.1600000000000000E+03   +8.2289879999999981E+05   +1.1724385491655163E+02   +7.3606484894995720E+02   +2.6961199501297087E+03   +3.0230507893226936E+03   +8.4509385865695731E+04   +4.6261441513982317E+02   +3.4223284984243619E+04   +1.9481818151714108E+02   +0.0000000000000000E+00   +7.1390522552637935E+02   +1.4488223591612762E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.0690000000000032E+02   +0.0000000000000000E+00   +3.5179402634839944E+03   +3.0705344720759636E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.2451127973272563E+06   +1.7157554271499984E+05   +9.5987826175689566E+04   +9.0228556605148027E+04   +8.7205505815825425E+04   +8.4509385865695731E+04   +3.4223284984243619E+04   +3.3487220135293661E+04   +3.0705344720759636E+04   +4.6353171772078457E+02   -4.6353171772078457E+02   +8.0501760195307550E+04
  +2.8800000000000000E+03   +9.8157960000000021E+05   +1.2561735246113284E+02   +8.4624570739536750E+02   +3.0649097377449266E+03   +3.4953304252603407E+03   +9.8192063362777641E+04   +4.4572645105049071E+02   +3.9950944134658464E+04   +2.2761987340283753E+02   +0.0000000000000000E+00   +9.7077421085082324E+02   +1.6888401578739729E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.9699999999999977E+02   +0.0000000000000000E+00   +4.1559745476164144E+03   +3.5794969587041996E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.6128097639834182E+06   +2.0466070990500017E+05   +1.1143862077210945E+05   +1.0475230352578305E+05   +1.0125697310052263E+05   +9.8192063362777641E+04   +3.9950944134658464E+04   +3.9104698427263087E+04   +3.5794969587041996E+04   +9.3978463908079618E+02   -9.3978463908079618E+02   +9.3685595356690348E+04
  +3.6240000000000000E+03   +1.0026611999999997E+06   +1.4033948281685241E+02   +8.4860190372377338E+02   +3.1273882099468583E+03   +3.6383647943309375E+03   +9.7679608208525839E+04   +4.5518114423054891E+02   +3.9548196710649907E+04   +2.2261229229222519E+02   +0.0000000000000000E+00   +1.1092580231520787E+03   +1.6585056282835590E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.0690000000000032E+02   +0.0000000000000000E+00   +4.2859503986598302E+03   +3.5262246311990049E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.6132265050159311E+06   +2.0905625278499990E+05   +1.1111208639659955E+05   +1.0444536121280356E+05   +1.0080699641847263E+05   +9.7679608208525839E+04   +3.9548196710649907E+04   +3.8699594806926121E+04   +3.5262246311990049E+04   -5.4168269937012496E+01   +5.4168269937012496E+01   +9.3681847416034856E+04
  +4.3440000000000000E+03   +1.0597464000000004E+06   +1.3351622521384442E+02   +8.4550074823964917E+02   +3.0412539874625636E+03   +3.6194582416468384E+03   +9.7734621085228617E+04   +4.3459001831298968E+02   +3.8560201843743198E+04   +2.1957834369120692E+02   +0.0000000000000000E+00   +1.2170635850750004E+03   +1.5935580358070365E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.9699999999999977E+02   +0.0000000000000000E+00   +4.3059991559760438E+03   +3.4254202687767174E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.5850264878065945E+06   +2.2095859626999981E+05   +1.1105886522801912E+05   +1.0439533331433803E+05   +1.0077587507269118E+05   +9.7734621085228617E+04   +3.8560201843743198E+04   +3.7714701095503558E+04   +3.4254202687767174E+04   +9.8786672752923039E+02   -9.8786672752923039E+02   +9.2674477893679345E+04
  +5.0880000000000000E+03   +1.0249487999999996E+06   +1.4187357816975589E+02   +8.6245468824601505E+02   +3.1227436456846490E+03   +3.7609155952938063E+03   +9.9342950129791105E+04   +4.4569109726439007E+02   +3.9127268512874405E+04   +2.2366387196050681E+02   +0.0000000000000000E+00   +1.2760930552161299E+03   +1.5983740546242666E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.0690000000000032E+02   +0.0000000000000000E+00   +4.4089594314104997E+03   +3.4718309081463864E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.6496697253043051E+06   +2.1370324834000008E+05   +1.1300703124549941E+05   +1.0622660937076945E+05   +1.0246569377547565E+05   +9.9342950129791105E+04   +3.9127268512874405E+04   +3.8264813824628378E+04   +3.4718309081463864E+04   +3.3412107984934818E+02   -3.3412107984934818E+02   +9.5014196626314355E+04
  +5.8320000000000000E+03   +9.5773320000000030E+05   +1.2953893473143506E+02   +8.1782958364827005E+02   +2.9239741598311630E+03   +3.4881298043503730E+03   +9.4673581189382574E+04   +4.4704797599539808E+02   +3.7273725569514820E+04   +2.1619107010568092E+02   +0.0000000000000000E+00   +1.1935057525942862E+03   +1.5317295112968543E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.0690000000000032E+02   +0.0000000000000000E+00   +4.1950844632253766E+03   +3.3078641106289506E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.5131842175474688E+06   +1.9968870238500013E+05   +1.0753796292932374E+05   +1.0108568515356415E+05   +9.7597555349213828E+04   +9.4673581189382574E+04   +3.7273725569514820E+04   +3.6455895985866577E+04   +3.3078641106289506E+04   +4.0003013216662106E+02   -4.0003013216662106E+02   +9.0117287124195660E+04
  +6.5520000000000000E+03   +8.9425800000000000E+05   +1.1994570083774059E+02   +7.8410068499247063E+02   +2.7170508467866639E+03   +3.2127429776285639E+03   +9.2418266889336184E+04   +4.3722684023440564E+02   +3.6846806530375994E+04   +2.1872927219968139E+02   +0.0000000000000000E+00   +1.1374299585426240E+03   +1.5272809190306443E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.9699999999999977E+02   +0.0000000000000000E+00   +4.0839064710141975E+03   +3.2762900059361844E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.4624067555616656E+06   +1.8645403502500005E+05   +1.0462559650399078E+05   +9.8348060713751271E+04   +9.5135317736122757E+04   +9.2418266889336184E+04   +3.6846806530375994E+04   +3.6062705845383483E+04   +3.2762900059361844E+04   +2.9341865698984390E+02   -2.9341865698984390E+02   +8.8294060934924128E+04
  +7.2960000000000000E+03   +7.9597440000000037E+05   +1.1664514114042102E+02   +7.0465884021470060E+02   +2.4262702159463497E+03   +2.7964038463958868E+03   +8.2131133664555775E+04   +4.5689245608179192E+02   +3.2906178909101312E+04   +1.9222011229513649E+02   +0.0000000000000000E+00   +8.8740445728825114E+02   +1.3878167690902612E+03   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.0690000000000032E+02   +0.0000000000000000E+00   +3.5955850971676832E+03   +2.9310593811933690E+04   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.1744690185029963E+06   +1.6596176791999998E+05   +9.2929582688189403E+04   +8.7353807726897969E+04   +8.4557403880502083E+04   +8.2131133664555775E+04   +3.2906178909101312E+04   +3.2201520068886599E+04   +2.9310593811933690E+04   +1.9692226022911240E+02   -1.9692226022911240E+02   +7.7965822286853276E+04
